dataset_key,dataset_label,model_key,model_label,is_sigma_baseline,higher_better,display_unit,seed,metric_raw,metric_display,wandb_group,wandb_run_id,wandb_run_name
peptides_func,Peptides-func,SiGMA_ungated,"SiGMA, ungated",False,True,AP,3,0.67632,0.67632,paper_T5_peptides_func_SiGMA_ungated,0nhmq5ot,paper_T5_peptides_func_SiGMA_ungated_seed3_job32232124_9
peptides_func,Peptides-func,SiGMA_ungated,"SiGMA, ungated",False,True,AP,4,0.69203,0.69203,paper_T5_peptides_func_SiGMA_ungated,jdcqh4x8,paper_T5_peptides_func_SiGMA_ungated_seed4_job32232124_10
peptides_struct,Peptides-struct,SiGMA,SiGMA,True,False,MAE,0,0.24275,0.24275,paper_bestmodel_v2_peptides_struct_g3bsaq32_b7m0_ep250,joskj6gk,peptides_struct_hybrid_g3bsaq32_b7m0_seed0_ep250_job28593691_1
peptides_struct,Peptides-struct,SiGMA,SiGMA,True,False,MAE,1,0.24456,0.24456,paper_bestmodel_v2_peptides_struct_g3bsaq32_b7m0_ep250,9vpas7oc,peptides_struct_hybrid_g3bsaq32_b7m0_seed1_ep250_job28593691_2
peptides_struct,Peptides-struct,SiGMA,SiGMA,True,False,MAE,2,0.24498,0.24498,paper_bestmodel_v2_peptides_struct_g3bsaq32_b7m0_ep250,uh3uel3v,peptides_struct_hybrid_g3bsaq32_b7m0_seed2_ep250_job28593691_3
peptides_struct,Peptides-struct,SiGMA,SiGMA,True,False,MAE,3,0.2444,0.2444,paper_bestmodel_v2_peptides_struct_g3bsaq32_b7m0_ep250,78a665x8,peptides_struct_hybrid_g3bsaq32_b7m0_seed3_ep250_job28593691_4
peptides_struct,Peptides-struct,SiGMA,SiGMA,True,False,MAE,4,0.24542,0.24542,paper_bestmodel_v2_peptides_struct_g3bsaq32_b7m0_ep250,zdss5uhy,peptides_struct_hybrid_g3bsaq32_b7m0_seed4_ep250_job28593691_5
peptides_struct,Peptides-struct,MP_only,MP-only,False,False,MAE,0,0.2475,0.2475,paper_T5_peptides_struct_MP_only,7lkytgcj,paper_T5_peptides_struct_MP_only_seed0_job32232124_36
peptides_struct,Peptides-struct,MP_only,MP-only,False,False,MAE,1,0.24671,0.24671,paper_T5_peptides_struct_MP_only,yvr0p7wa,paper_T5_peptides_struct_MP_only_seed1_job32232124_37
peptides_struct,Peptides-struct,MP_only,MP-only,False,False,MAE,2,0.24636,0.24636,paper_T5_peptides_struct_MP_only,6vaatow3,paper_T5_peptides_struct_MP_only_seed2_job32232124_38
peptides_struct,Peptides-struct,MP_only,MP-only,False,False,MAE,3,0.24927,0.24927,paper_T5_peptides_struct_MP_only,wnzsm8rr,paper_T5_peptides_struct_MP_only_seed3_job32232124_39
peptides_struct,Peptides-struct,MP_only,MP-only,False,False,MAE,4,0.24808,0.24808,paper_T5_peptides_struct_MP_only,1j5pld34,paper_T5_peptides_struct_MP_only_seed4_job32232124_40
peptides_struct,Peptides-struct,Attn_only,Attention-only,False,False,MAE,0,0.27847,0.27847,paper_T5_peptides_struct_Attn_only,qeyqumso,paper_T5_peptides_struct_Attn_only_seed0_job32232124_31
peptides_struct,Peptides-struct,Attn_only,Attention-only,False,False,MAE,1,0.25627,0.25627,paper_T5_peptides_struct_Attn_only,dw27g9sw,paper_T5_peptides_struct_Attn_only_seed1_job32232124_32
peptides_struct,Peptides-struct,Attn_only,Attention-only,False,False,MAE,2,0.2622,0.2622,paper_T5_peptides_struct_Attn_only,e9xnruv3,paper_T5_peptides_struct_Attn_only_seed2_job32232124_33
peptides_struct,Peptides-struct,Attn_only,Attention-only,False,False,MAE,3,0.26713,0.26713,paper_T5_peptides_struct_Attn_only,43pmbscx,paper_T5_peptides_struct_Attn_only_seed3_job32232124_34
peptides_struct,Peptides-struct,Attn_only,Attention-only,False,False,MAE,4,0.27253,0.27253,paper_T5_peptides_struct_Attn_only,sw8wwcbx,paper_T5_peptides_struct_Attn_only_seed4_job32232124_35
