dataset_key,dataset_label,seed,higher_better,display_unit,SiGMA_metric_display,SiGMA_metric_raw,SiGMA_wandb_run_id,MP_only_metric_display,MP_only_metric_raw,MP_only_wandb_run_id,Attn_only_metric_display,Attn_only_metric_raw,Attn_only_wandb_run_id,SiGMA_attn_gate_metric_display,SiGMA_attn_gate_metric_raw,SiGMA_attn_gate_wandb_run_id,SiGMA_ungated_attn_metric_display,SiGMA_ungated_attn_metric_raw,SiGMA_ungated_attn_wandb_run_id,SiGMA_ungated_metric_display,SiGMA_ungated_metric_raw,SiGMA_ungated_wandb_run_id
peptides_func,Peptides-func,3,True,AP,0.70684,0.70684,x0o2k4og,0.69347,0.69347,t6lwmwq0,0.71393,0.71393,w4d1vx0h,0.69109,0.69109,f3cckyxo,0.68072,0.68072,ftyqkuuq,0.67632,0.67632,0nhmq5ot
peptides_func,Peptides-func,4,True,AP,0.70891,0.70891,n5ngw5j2,0.70104,0.70104,sz9k91gz,0.69074,0.69074,mruf0qp4,0.70504,0.70504,1ziemtf4,0.70352,0.70352,cajg24wv,0.69203,0.69203,jdcqh4x8
peptides_struct,Peptides-struct,0,False,MAE,0.24275,0.24275,joskj6gk,0.2475,0.2475,7lkytgcj,0.27847,0.27847,qeyqumso,0.25138,0.25138,ptoj5592,0.2429,0.2429,sdn67gn5,0.25702,0.25702,34wmc8bb
peptides_struct,Peptides-struct,1,False,MAE,0.24456,0.24456,9vpas7oc,0.24671,0.24671,yvr0p7wa,0.25627,0.25627,dw27g9sw,0.24801,0.24801,h92hupzz,0.24275,0.24275,fxieuuvb,0.24741,0.24741,pfwl6be9
peptides_struct,Peptides-struct,2,False,MAE,0.24498,0.24498,uh3uel3v,0.24636,0.24636,6vaatow3,0.2622,0.2622,e9xnruv3,0.2491,0.2491,ibht8hpv,0.24357,0.24357,rypopsiu,0.24753,0.24753,oxol1qix
peptides_struct,Peptides-struct,3,False,MAE,0.2444,0.2444,78a665x8,0.24927,0.24927,wnzsm8rr,0.26713,0.26713,43pmbscx,0.24545,0.24545,cyey0kup,0.24744,0.24744,p9y21268,0.24458,0.24458,snc7hqr4
peptides_struct,Peptides-struct,4,False,MAE,0.24542,0.24542,zdss5uhy,0.24808,0.24808,1j5pld34,0.27253,0.27253,sw8wwcbx,0.24833,0.24833,u4g3b3g5,0.24247,0.24247,nfqq111h,0.24244,0.24244,gno276w2
voc,PascalVOC-SP,0,True,F1,0.46424,0.46424,zhfigzdi,0.42416,0.42416,ava68bbl,0.38857,0.38857,zghkxdss,0.47788,0.47788,83ivoaxa,0.45742,0.45742,1jvvujjy,0.47986,0.47986,qf1e32ua
voc,PascalVOC-SP,1,True,F1,0.46442,0.46442,axtosowj,0.4292,0.4292,pu1pi91p,0.39387,0.39387,iymkckex,0.46437,0.46437,defa60go,0.46681,0.46681,egf2fuq4,0.45601,0.45601,alwifq53
voc,PascalVOC-SP,2,True,F1,0.46725,0.46725,umkqmd0q,0.40754,0.40754,m0w70g4x,0.39299,0.39299,d3unoelb,0.46437,0.46437,8ixdgq1m,0.45029,0.45029,4d2iwc10,0.47614,0.47614,pkntir4l
voc,PascalVOC-SP,3,True,F1,0.48105,0.48105,vyt7hjj5,0.4221,0.4221,xnyyju8z,0.38922,0.38922,2ymqidjg,0.46775,0.46775,774rkwh2,0.47238,0.47238,nzk7uzzz,0.46931,0.46931,n3u0k1x8
voc,PascalVOC-SP,4,True,F1,0.46651,0.46651,sdsawqf0,0.42475,0.42475,43tszpmc,0.38913,0.38913,r0fvgu5t,0.46094,0.46094,i27b4n9s,0.4483,0.4483,xnuc25p5,0.46394,0.46394,ga0u29n1
